name,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,yellow_cards,GW,predicted_goals
Kacper Kozłowski,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,103.66666666666667,0.0,0.0,0.0,0.0,0.0,10.285714285714286,0.0,0.0,0.0,0.0,11.0,0.0,76.19047619047619,0.0,1.4761904761904763,1.4285714285714286,0.0,0.0,-4.523809523809524,0.0,4.523809523809524,45.0,0.0,31,0.001
Axel Tuanzebe,Ipswich,0.42857142857142855,0.0,0.0,2.5714285714285716,0.047619047619047616,2.3000000000000003,282.0,0.002380952380952381,0.010952380952380953,0.008571428571428572,0.7371428571428572,105.57142857142857,0.6190476190476191,0.0,0.8999999999999999,5.819047619047619,36.666666666666664,10.19047619047619,0.0,0.0,0.0,0.0,11.0,0.0,228409.85714285713,0.42857142857142855,1.4285714285714286,1.2857142857142858,0.9047619047619048,0.7142857142857143,1164.1904761904761,18781.04761904762,17616.85714285714,39.857142857142854,0.14285714285714285,31,0.001
Gabriel Fernando de Jesus,Arsenal,2.1142857142857143,0.09523809523809523,0.2857142857142857,7.238095238095238,0.09523809523809523,5.690476190476191,2.0,0.024761904761904763,0.16999999999999998,0.14523809523809522,0.27714285714285714,102.85714285714286,0.23809523809523808,0.14285714285714285,2.5047619047619047,7.352380952380951,28.571428571428573,11.047619047619047,0.0,0.0,0.0,0.0,11.0,0.0,239441.57142857142,0.2857142857142857,1.3333333333333333,1.5238095238095237,12.142857142857142,2.0,13117.857142857143,58900.380952380954,45782.52380952381,68.19047619047619,0.19047619047619047,31,0.001
Iliman Ndiaye,Everton,2.565,0.0,0.45,13.8,0.45,11.675,232.0,0.044,0.135,0.091,1.0975,102.75,0.9,0.15,4.085,16.04,80.15,9.75,0.0,0.0,0.0,0.0,10.8,0.0,74930.95,0.9,0.85,1.2,13.0,2.85,2745.05,12832.05,10087.0,54.1,0.1,31,0.001
Enso González,Wolves,0.0,0.0,0.0,0.0,0.0,0.0,547.0,0.0,0.0,0.0,0.0,107.80952380952381,0.0,0.0,0.0,0.0,0.0,10.523809523809524,0.0,0.0,0.0,0.0,11.0,0.0,3885.0476190476193,0.0,1.9047619047619047,1.8571428571428572,0.0,0.0,12.904761904761905,487.4761904761905,474.57142857142856,44.523809523809526,0.0,31,0.001
Ross Stewart,Southampton,-0.03809523809523809,0.0,0.0,0.23809523809523808,0.0,0.3190476190476191,473.0,0.0009523809523809524,0.009047619047619047,0.008095238095238096,0.12190476190476189,106.42857142857143,0.09523809523809523,0.0,0.09999999999999998,0.2761904761904762,6.190476190476191,10.047619047619047,0.0,0.0,0.0,0.0,11.0,0.0,226081.42857142858,0.047619047619047616,1.5714285714285714,1.2857142857142858,0.42857142857142855,0.14285714285714285,7352.380952380952,34062.47619047619,26710.095238095237,44.857142857142854,0.047619047619047616,31,0.001
Archie Gray,Spurs,1.0809523809523809,0.0,0.0,5.904761904761905,0.047619047619047616,0.6190476190476191,489.0,0.002380952380952381,0.0038095238095238095,0.0014285714285714286,0.7380952380952381,107.66666666666667,0.7142857142857143,0.0,0.719047619047619,6.276190476190477,33.0,9.904761904761905,0.0,0.0,0.0,0.0,11.0,0.0,17877.333333333332,0.3333333333333333,1.8095238095238095,1.7619047619047619,0.3333333333333333,1.0476190476190477,-243.42857142857142,1344.3809523809523,1587.8095238095239,47.38095238095238,0.0,31,0.001
Christopher Nkunku,Chelsea,2.119047619047619,0.047619047619047616,0.19047619047619047,5.190476190476191,0.0,5.447619047619048,181.0,0.018095238095238095,0.22,0.20190476190476192,0.46,105.66666666666667,0.42857142857142855,0.09523809523809523,2.0285714285714285,6.123809523809523,18.476190476190474,10.19047619047619,0.0,0.0,0.0,0.0,11.0,0.0,433982.3333333333,0.14285714285714285,1.7619047619047619,1.4285714285714286,8.857142857142858,1.7142857142857142,-63549.619047619046,13511.761904761905,77061.38095238095,59.95238095238095,0.047619047619047616,31,0.001
Manuel Akanji,Man City,2.2952380952380955,0.0,0.047619047619047616,9.619047619047619,0.14285714285714285,10.523809523809524,340.0,0.04904761904761905,0.07476190476190477,0.025714285714285717,1.1147619047619048,106.28571428571429,1.0,0.0,2.5714285714285716,12.80952380952381,69.33333333333333,10.476190476190476,0.0,0.0,0.0,0.0,11.0,0.0,431443.14285714284,0.8095238095238095,1.4761904761904763,1.7142857142857142,2.3333333333333335,1.7142857142857142,-11444.42857142857,19082.0,30526.428571428572,54.23809523809524,0.14285714285714285,31,0.001
Ryan Gravenberch,Liverpool,3.15,0.1,0.05,15.85,0.35,14.385,323.0,0.1115,0.15,0.03849999999999999,0.85,104.2,0.95,0.0,3.2649999999999997,14.919999999999998,86.9,11.0,0.0,0.0,0.0,0.0,10.8,0.0,80329.45,1.0,1.8,1.6,3.3,2.45,2186.4,10109.45,7923.05,50.0,0.2,31,0.001
Joe Willock,Newcastle,1.1523809523809523,0.047619047619047616,0.0,4.142857142857143,0.14285714285714285,7.242857142857143,420.0,0.03,0.0642857142857143,0.03428571428571429,0.3852380952380952,106.61904761904762,0.19047619047619047,0.0,1.519047619047619,3.8666666666666667,26.095238095238095,11.095238095238095,0.0,0.0,0.0,0.0,11.0,0.0,18617.190476190477,0.2857142857142857,1.2857142857142858,1.5238095238095237,4.190476190476191,1.2380952380952381,-240.14285714285714,1729.952380952381,1970.095238095238,48.285714285714285,0.09523809523809523,31,0.001
Mark Flekken,Brentford,2.9714285714285715,0.047619047619047616,0.09523809523809523,14.523809523809524,0.09523809523809523,0.4809523809523809,91.0,0.0033333333333333335,0.0033333333333333335,0.0,1.6252380952380954,103.76190476190476,1.7619047619047619,0.0,3.7714285714285714,37.38095238095238,87.38095238095238,11.238095238095237,0.0,0.0,0.0,0.0,11.0,4.523809523809524,1204284.857142857,1.0,1.5238095238095237,2.142857142857143,0.0,3.0476190476190474,-4666.761904761905,55785.857142857145,60452.619047619046,44.904761904761905,0.047619047619047616,31,0.001
