name,team,position,GW,predicted_goals,minutes,raw_predicted_goals,blended_prediction,min_probability
Darwin Núñez Ribeiro,Liverpool,FWD,31,0.12,37.45,0.01948205266955267,0.07152079586102474,0.12483333333333335
Mateus Gonçalo Espanha Fernandes,Southampton,MID,31,0.12,73.5,0.007284798534798535,0.030367072977778384,0.12
Dominik Szoboszlai,Liverpool,MID,31,0.12,60.85,0.024155235967735972,0.03880229169424711,0.12
Keane Lewis-Potter,Brentford,MID,31,0.12,78.42857142857143,0.009036935286935287,0.03124314135384676,0.12
João Victor Gomes da Silva,Wolves,MID,31,0.12,80.61904761904762,0.0011111111111111111,0.027280229265934673,0.12
Dejan Kulusevski,Spurs,MID,31,0.12,79.9047619047619,0.11028857369541034,0.08186896055808429,0.12
Mohammed Kudus,West Ham,MID,31,0.12,61.57142857142857,0.014488275613275616,0.033968811517016924,0.12
Enzo Fernández,Chelsea,MID,31,0.12,71.76190476190476,0.05813982799945836,0.0557945877101083,0.12
Vitaly Janelt,Brentford,MID,31,0.12,71.28571428571429,0.0011111111111111111,0.027280229265934673,0.12
Alexis Mac Allister,Liverpool,MID,31,0.12,70.55,0.01437824675324675,0.03391379708700249,0.12
Thomas Partey,Arsenal,MID,31,0.12,75.28571428571429,0.004125,0.028787173710379116,0.12
Mitoma Kaoru,Brighton,MID,31,0.12,79.14285714285714,0.10911197252017098,0.0812806599704646,0.12
Joelinton Cássio Apolinário de Lira,Newcastle,MID,31,0.12,79.61904761904762,0.02204871517371517,0.0377490312972367,0.12
Elliot Anderson,Nott'm Forest,MID,31,0.12,61.285714285714285,0.010633658008658009,0.032041502714708125,0.12
Bruno Guimarães Rodriguez Moura,Newcastle,MID,31,0.12,87.38095238095238,0.020201659451659457,0.03682550343620884,0.12
Wilfred Ndidi,Leicester,MID,31,0.12,57.904761904761905,0.000625,0.027037173710379118,0.1158095238095238
Youri Tielemans,Aston Villa,MID,31,0.12,84.33333333333333,0.00125,0.027349673710379118,0.12
Ryan Gravenberch,Liverpool,MID,31,0.12,86.9,0.0,0.026724673710379118,0.12
Lewis Cook,Bournemouth,MID,31,0.12,79.57142857142857,0.0,0.026724673710379118,0.12
Declan Rice,Arsenal,MID,31,0.12,69.95238095238095,0.020491011303511306,0.03697017936213477,0.12
Christian Nørgaard,Brentford,MID,31,0.12,69.95238095238095,0.0,0.026724673710379118,0.12
John McGinn,Aston Villa,MID,31,0.12,59.666666666666664,0.00125,0.027349673710379118,0.11933333333333332
Bernardo Veiga de Carvalho e Silva,Man City,MID,31,0.12,82.57142857142857,0.061349968290667176,0.0573996578557127,0.12
Andreas Hoelgebaum Pereira,Fulham,MID,31,0.12,59.19047619047619,0.018112294625452517,0.035780821023105376,0.11838095238095236
Omari Giraud-Hutchinson,Ipswich,MID,31,0.12,77.47619047619048,0.007091450216450215,0.030270398818604227,0.12
Sam Morsy,Ipswich,MID,31,0.12,77.71428571428571,0.0,0.026724673710379118,0.12
Son Heung-min,Spurs,MID,31,0.12,62.523809523809526,0.16969853203305718,0.11157393972690771,0.12
Saša Lukić,Fulham,MID,31,0.12,59.142857142857146,0.0,0.026724673710379118,0.11828571428571429
Alex Iwobi,Fulham,MID,31,0.12,86.0,0.16948765826117992,0.11146850284096908,0.12
Flynn Downes,Southampton,MID,31,0.12,66.0,0.0,0.026724673710379118,0.12
Lucas Tolentino Coelho de Lima,West Ham,MID,31,0.12,69.57142857142857,0.009770833333333334,0.031610090377045784,0.12
Mikkel Damsgaard,Brentford,MID,31,0.12,72.95238095238095,0.057006592213829047,0.05522796981729364,0.12
Idrissa Gueye,Everton,MID,31,0.12,74.3,0.0,0.026724673710379118,0.12
Abdoulaye Doucouré,Everton,MID,31,0.12,71.2,0.0,0.026724673710379118,0.12
Georginio Rutter,Brighton,MID,31,0.11,55.3,0.010770382395382394,0.032109864908070315,0.11059999999999999
Marcus Tavernier,Bournemouth,MID,31,0.11,54.19047619047619,0.016586159211159208,0.03501775331595872,0.10838095238095238
Anthony Elanga,Nott'm Forest,MID,31,0.11,57.23809523809524,0.010116341991341992,0.03178284470605011,0.11447619047619048
Leandro Trossard,Arsenal,MID,31,0.11,56.57142857142857,0.04297299651567945,0.04821117196821884,0.11314285714285714
Phil Foden,Man City,MID,31,0.11,54.23809523809524,0.05877777315277313,0.05611356028676569,0.10847619047619048
Facundo Buonanotte,Leicester,MID,31,0.11,52.714285714285715,0.012020382395382395,0.032734864908070316,0.10542857142857143
Alejandro Garnacho,Man Utd,MID,31,0.11,53.19047619047619,0.03751243201243201,0.04548088971659513,0.10638095238095237
Gabriel Martinelli Silva,Arsenal,MID,31,0.11,56.904761904761905,0.13768320609129428,0.09556627675602626,0.1138095238095238
Martin Ødegaard,Arsenal,MID,31,0.11,52.76190476190476,0.021083814333814333,0.037266580877286286,0.10552380952380952
Dwight McNeil,Everton,MID,31,0.11,57.0,0.04228754578754579,0.047868446604152015,0.11399999999999999
Emile Smith Rowe,Fulham,MID,31,0.11,57.19047619047619,0.02219554057054057,0.0378224439956494,0.11438095238095237
Kobbie Mainoo,Man Utd,MID,31,0.11,54.333333333333336,0.0,0.026724673710379118,0.10866666666666666
Jefferson Lerma Solís,Crystal Palace,MID,31,0.11,52.904761904761905,0.0,0.026724673710379118,0.1058095238095238
André Trindade da Costa Neto,Wolves,MID,31,0.11,55.89473684210526,0.0,0.026724673710379118,0.11178947368421051
Sandro Tonali,Newcastle,MID,31,0.11,56.523809523809526,0.001875,0.02766217371037912,0.11304761904761904
Will Hughes,Crystal Palace,MID,31,0.11,54.61904761904762,0.0,0.026724673710379118,0.10923809523809523
Jadon Sancho,Chelsea,MID,31,0.11,53.22222222222222,0.010595508658008658,0.032022428039383447,0.10644444444444444
Joe Aribo,Southampton,MID,31,0.11,56.80952380952381,0.0038749999999999995,0.028662173710379116,0.1136190476190476
Stephy Mavididi,Leicester,MID,31,0.11,57.142857142857146,0.003181818181818182,0.028315582801288208,0.11428571428571428
Jack Harrison,Everton,MID,31,0.1,49.65,0.004958333333333334,0.029203840377045785,0.0993
Gabriel Fernando de Jesus,Arsenal,FWD,31,0.1,28.571428571428573,0.01402061827061827,0.06879007866155754,0.09523809523809525
Edson Álvarez Velázquez,West Ham,MID,31,0.1,50.38095238095238,0.0,0.026724673710379118,0.10076190476190476
Sander Berge,Fulham,MID,31,0.1,47.8,0.0,0.026724673710379118,0.09559999999999999
Pape Matar Sarr,Spurs,MID,31,0.1,52.38095238095238,0.0021428571428571425,0.027796102281807688,0.10476190476190476
Yasin Ayari,Brighton,MID,31,0.1,52.38095238095238,0.003125,0.02828717371037912,0.10476190476190476
Pedro Lomba Neto,Chelsea,MID,31,0.1,47.95238095238095,0.002375,0.02791217371037912,0.0959047619047619
Sávio 'Savinho' Moreira de Oliveira,Man City,MID,31,0.1,51.285714285714285,0.12192627631749656,0.0876878118691274,0.10257142857142856
Eddie Nketiah,Crystal Palace,FWD,31,0.1,31.0,0.002857142857142857,0.06320834095481982,0.10333333333333335
Jacob Murphy,Newcastle,MID,31,0.1,52.19047619047619,0.016826569264069263,0.03513795834241375,0.10438095238095238
Amadou Onana,Aston Villa,MID,31,0.09,47.476190476190474,0.00626984126984127,0.029859594345299754,0.09495238095238094
Boubakary Soumaré,Leicester,MID,31,0.09,43.857142857142854,0.0,0.026724673710379118,0.0877142857142857
Jordan Ayew,Leicester,MID,31,0.09,45.85,0.006224747474747474,0.029837047447752854,0.09169999999999999
Guido Rodríguez,West Ham,MID,31,0.09,46.142857142857146,0.0,0.026724673710379118,0.09228571428571429
Marcus Rashford,Man Utd,MID,31,0.09,46.42857142857143,0.009182900432900433,0.03131612392682934,0.09285714285714286
Dango Ouattara,Bournemouth,MID,31,0.09,45.95238095238095,0.07583086087354379,0.06464010414715102,0.09190476190476189
Curtis Jones,Liverpool,MID,31,0.09,44.0,0.042074149169543905,0.04776174829515107,0.088
Wes Burns,Ipswich,MID,31,0.09,42.57142857142857,0.0,0.026724673710379118,0.08514285714285713
Yves Bissouma,Spurs,MID,31,0.09,45.80952380952381,0.0009090909090909091,0.02717921916492457,0.09161904761904763
Jens Cajuste,Ipswich,MID,31,0.09,45.2,0.0,0.026724673710379118,0.09040000000000001
Kevin De Bruyne,Man City,MID,31,0.09,43.285714285714285,0.11128327642143432,0.08236631192109628,0.08657142857142856
Leon Bailey,Aston Villa,MID,31,0.09,43.523809523809526,0.007212121212121212,0.030330734316439723,0.08704761904761904
Rodrigo Muniz Carvalho,Fulham,FWD,31,0.09,28.285714285714285,0.008580447330447329,0.06606999319147207,0.09428571428571429
