name,team,minutes,xP,threat,bps,transfers_in,expected_goals,GW,predicted_goals
Mohamed Salah,Liverpool,88.15,11.535,61.6,34.65,284249.0,0.8135,22,1.0268928571428573
Erling Haaland,Man City,89.61904761904762,6.39047619047619,55.142857142857146,26.476190476190474,147330.38095238095,0.7685714285714286,22,0.9925
Cole Palmer,Chelsea,87.52380952380952,7.5476190476190474,31.19047619047619,32.714285714285715,297887.1904761905,0.5366666666666666,22,0.9754166666666667
Alexander Isak,Newcastle,73.42857142857143,5.428571428571429,38.333333333333336,26.61904761904762,292197.3333333333,0.5942857142857143,22,0.9683333333333333
Bryan Mbeumo,Brentford,89.76190476190476,5.671428571428571,23.80952380952381,26.0,311542.2380952381,0.3119047619047619,22,0.5944999999999999
James Maddison,Spurs,57.285714285714285,5.204761904761905,19.761904761904763,21.095238095238095,100023.0,0.21666666666666665,22,0.5690833333333333
Bukayo Saka,Arsenal,60.38095238095238,5.838095238095239,28.761904761904763,20.714285714285715,248567.80952380953,0.19857142857142857,22,0.43853571428571425
Luis Díaz,Liverpool,59.3,5.6450000000000005,23.45,15.9,283072.8,0.2575,22,0.33103571428571427
Matheus Santos Carneiro Da Cunha,Wolves,76.42857142857143,5.1761904761904765,24.714285714285715,25.38095238095238,196880.14285714287,0.20761904761904765,22,0.3308333333333333
Amad Diallo,Man Utd,62.904761904761905,3.9523809523809526,20.714285714285715,20.0,137627.04761904763,0.18714285714285714,22,0.3210238095238095
Chris Wood,Nott'm Forest,79.0952380952381,4.938095238095238,24.952380952380953,21.857142857142858,262357.85714285716,0.3466666666666667,22,0.23661904761904762
Nicolas Jackson,Chelsea,73.04761904761905,5.061904761904762,36.285714285714285,17.952380952380953,245019.14285714287,0.480952380952381,22,0.23470833333333335
Son Heung-min,Spurs,62.523809523809526,4.247619047619048,21.952380952380953,18.095238095238095,79344.80952380953,0.22761904761904764,22,0.16502380952380954
Alex Iwobi,Fulham,86.0,4.590476190476191,20.952380952380953,21.61904761904762,67775.09523809524,0.1319047619047619,22,0.1524166666666667
Justin Kluivert,Bournemouth,60.04761904761905,3.8190476190476192,23.0,12.904761904761905,43389.80952380953,0.3647619047619048,22,0.13475
Anthony Gordon,Newcastle,75.61904761904762,4.342857142857143,25.80952380952381,18.666666666666668,122195.71428571429,0.3357142857142857,22,0.13033333333333333
Bruno Borges Fernandes,Man Utd,78.80952380952381,4.247619047619048,17.238095238095237,19.38095238095238,115976.04761904762,0.31952380952380954,22,0.1193333333333333
Yoane Wissa,Brentford,66.23809523809524,3.842857142857143,25.80952380952381,18.38095238095238,129503.04761904762,0.4685714285714286,22,0.11757142857142858
Noni Madueke,Chelsea,56.95238095238095,4.423809523809524,32.285714285714285,13.095238095238095,113344.76190476191,0.2538095238095238,22,0.08433333333333333
Jamie Vardy,Leicester,73.85714285714286,3.4095238095238094,21.095238095238095,13.047619047619047,115835.57142857143,0.34571428571428575,22,0.08291666666666668
Bernardo Veiga de Carvalho e Silva,Man City,82.57142857142857,3.933333333333333,21.095238095238095,17.476190476190474,43270.666666666664,0.13428571428571429,22,0.07116666666666668
Raúl Jiménez,Fulham,62.476190476190474,3.6238095238095234,29.047619047619047,15.476190476190476,133543.80952380953,0.3814285714285714,22,0.07033333333333334
Liam Delap,Ipswich,72.61904761904762,3.2333333333333334,21.571428571428573,13.761904761904763,61576.71428571428,0.30047619047619045,22,0.06708333333333334
Jarrod Bowen,West Ham,78.85714285714286,4.085714285714285,28.952380952380953,16.61904761904762,54686.90476190476,0.22666666666666666,22,0.064
Ollie Watkins,Aston Villa,69.04761904761905,4.571428571428571,34.19047619047619,16.38095238095238,149329.42857142858,0.49952380952380954,22,0.05933333333333334
Francisco Evanilson de Lima Barbosa,Bournemouth,68.4,3.8549999999999995,28.65,14.55,45603.85,0.323,22,0.0585
Leandro Trossard,Arsenal,56.57142857142857,3.9857142857142858,16.904761904761905,12.428571428571429,21041.333333333332,0.14428571428571427,22,0.05541666666666666
Dominic Calvert-Lewin,Everton,73.45,2.505,23.25,6.1,47068.55,0.2575,22,0.05269047619047618
Antoine Semenyo,Bournemouth,83.14285714285714,3.338095238095238,34.23809523809524,14.857142857142858,114680.71428571429,0.2833333333333333,22,0.046000000000000006
Sávio 'Savinho' Moreira de Oliveira,Man City,51.285714285714285,3.4142857142857146,20.476190476190474,14.047619047619047,45030.19047619047,0.1438095238095238,22,0.043500000000000004
João Pedro Junqueira de Jesus,Brighton,53.095238095238095,3.2952380952380955,18.238095238095237,14.857142857142858,220280.38095238095,0.18000000000000002,22,0.04258333333333333
Jean-Philippe Mateta,Crystal Palace,75.71428571428571,3.185714285714286,20.476190476190474,12.666666666666666,37631.0,0.33476190476190476,22,0.03833333333333333
Morgan Rogers,Aston Villa,78.52380952380952,3.8285714285714287,18.047619047619047,14.80952380952381,196352.57142857142,0.17285714285714285,22,0.035166666666666666
Brennan Johnson,Spurs,70.95238095238095,4.5476190476190474,29.238095238095237,14.285714285714286,97712.90476190476,0.4004761904761905,22,0.027083333333333334
Cody Gakpo,Liverpool,53.55,4.0200000000000005,19.0,15.95,54410.5,0.191,22,0.02625
Jørgen Strand Larsen,Wolves,81.61904761904762,3.9000000000000004,25.047619047619047,14.619047619047619,45657.90476190476,0.2842857142857143,22,0.026249999999999996
Dominic Solanke-Mitchell,Spurs,76.0952380952381,3.9857142857142858,27.666666666666668,15.476190476190476,121827.09523809524,0.4014285714285714,22,0.025583333333333333
Morgan Gibbs-White,Nott'm Forest,63.80952380952381,2.8476190476190473,17.19047619047619,13.047619047619047,29631.95238095238,0.10857142857142857,22,0.024666666666666663
Joelinton Cássio Apolinário de Lira,Newcastle,79.61904761904762,3.1142857142857148,17.80952380952381,12.0,20213.190476190477,0.14047619047619048,22,0.02125
Dejan Kulusevski,Spurs,79.9047619047619,4.223809523809524,26.476190476190474,15.380952380952381,59233.09523809524,0.14714285714285713,22,0.018250000000000002
Danny Welbeck,Brighton,53.476190476190474,3.2857142857142856,17.714285714285715,11.904761904761905,176768.2380952381,0.2652380952380953,22,0.0125
Alejandro Garnacho,Man Utd,53.19047619047619,2.5142857142857142,24.285714285714285,8.952380952380953,53790.857142857145,0.23190476190476192,22,0.0125
Tomáš Souček,West Ham,68.23809523809524,3.2047619047619045,16.571428571428573,11.666666666666666,19846.52380952381,0.1757142857142857,22,0.0125
Ismaïla Sarr,Crystal Palace,64.76190476190476,3.419047619047619,25.666666666666668,14.428571428571429,36953.57142857143,0.19,22,0.012
Kai Havertz,Arsenal,74.76190476190476,4.214285714285714,28.857142857142858,13.095238095238095,116216.04761904762,0.38904761904761903,22,0.010416666666666664
Dango Ouattara,Bournemouth,45.95238095238095,2.3142857142857145,16.523809523809526,11.0,1481.5714285714287,0.2119047619047619,22,0.008333333333333333
Eberechi Eze,Crystal Palace,67.38095238095238,2.2952380952380955,19.38095238095238,13.904761904761905,60524.619047619046,0.2123809523809524,22,0.008
Mitoma Kaoru,Brighton,79.14285714285714,3.657142857142857,25.142857142857142,15.380952380952381,92826.76190476191,0.20142857142857146,22,0.0032500000000000003
Gabriel Martinelli Silva,Arsenal,56.904761904761905,4.014285714285714,21.952380952380953,11.428571428571429,49593.19047619047,0.1619047619047619,22,0.0025
Sandro Tonali,Newcastle,56.523809523809526,1.4047619047619047,6.476190476190476,9.0,4302.619047619048,0.11666666666666667,22,0.001
Charlie Taylor,Southampton,12.523809523809524,-0.3619047619047619,0.09523809523809523,0.7619047619047619,18841.428571428572,0.0,22,0.001
Ben Nelson,Leicester,0.0,0.0,0.0,0.0,105.14285714285714,0.0,22,0.001
Igor Julio dos Santos de Paulo,Brighton,42.857142857142854,0.7952380952380952,0.19047619047619047,4.904761904761905,625.2380952380952,0.002380952380952381,22,0.001
Daniel Muñoz,Crystal Palace,81.61904761904762,2.7904761904761903,14.476190476190476,11.523809523809524,37130.23809523809,0.15952380952380954,22,0.001
Bruno Guimarães Rodriguez Moura,Newcastle,87.38095238095238,3.2285714285714286,8.476190476190476,17.857142857142858,8547.904761904761,0.10238095238095238,22,0.001
John McGinn,Aston Villa,59.666666666666664,1.8904761904761906,7.190476190476191,8.857142857142858,4467.190476190476,0.08904761904761904,22,0.001
