name,team,minutes,xP,threat,bps,transfers_in,expected_goals,GW,predicted_goals
Julio Enciso,Brighton,13.0,0.41363636363636364,6.954545454545454,2.772727272727273,981.5909090909091,0.04818181818181819,23,0.001
Naouirou Ahamada,Crystal Palace,0.0,0.047619047619047616,0.0,0.0,294.1904761904762,0.0,23,0.001
Jeremy Sarmiento Morante,Brighton,0.38095238095238093,0.1,0.0,0.14285714285714285,16.857142857142858,0.0,23,0.001
Vladimír Coufal,West Ham,31.695652173913043,0.691304347826087,1.434782608695652,2.5217391304347827,5317.0,0.01173913043478261,23,0.001
Marc Cucurella Saseta,Chelsea,76.5,3.021875,3.3125,12.4375,341117.40625,0.0675,23,0.001
Toti António Gomes,Wolves,68.37931034482759,1.7,0.7931034482758621,9.89655172413793,7699.517241379311,0.02517241379310345,23,0.001
Leon Chiwome,Wolves,0.0,-0.09523809523809523,0.0,0.0,26708.47619047619,0.0,23,0.001
Simon Adingra,Brighton,27.96551724137931,1.2758620689655173,5.172413793103448,5.448275862068965,13233.965517241379,0.07310344827586207,23,0.001
Kyle Walker-Peters,Southampton,83.10344827586206,0.9413793103448276,5.827586206896552,7.379310344827586,10800.896551724138,0.018965517241379314,23,0.001
Hugo Bueno López,Wolves,0.0,0.0,0.0,0.0,0.0,0.0,23,0.001
Daniel Bentley,Wolves,0.0,-0.09523809523809523,0.0,0.0,3113.4285714285716,0.0,23,0.001
Ivan Toney,Brentford,0.0,0.09047619047619047,0.0,0.0,2065.5238095238096,0.0,23,0.001
Antonee Robinson,Fulham,90.0,2.9733333333333336,4.866666666666666,15.233333333333333,905527.8666666667,0.023333333333333334,23,0.001
Romain Faivre,Bournemouth,0.0,0.0761904761904762,0.0,0.0,1.0952380952380953,0.0,23,0.001
James Ward-Prowse,West Ham,67.0,1.5,0.0,12.7,46919.0,0.040999999999999995,23,0.001
Patson Daka,Leicester,19.451612903225808,0.7387096774193548,1.8064516129032258,2.903225806451613,31105.935483870966,0.04032258064516129,23,0.001
Illia Zabarnyi,Bournemouth,87.65517241379311,2.168965517241379,1.3103448275862069,11.586206896551724,19598.137931034482,0.03379310344827586,23,0.001
Gavin Bazunu,Southampton,0.0,0.03809523809523809,0.0,0.0,117.52380952380952,0.0,23,0.001
Sven Botman,Newcastle,8.571428571428571,0.0380952380952381,0.42857142857142855,1.6666666666666667,325.14285714285717,0.0014285714285714286,23,0.001
Danny Ward,Leicester,6.428571428571429,-0.1619047619047619,0.0,-0.23809523809523808,4501.476190476191,0.0,23,0.001
Jack Taylor,Ipswich,17.258064516129032,0.7,2.096774193548387,3.5161290322580645,1083.0645161290322,0.02032258064516129,23,0.001
Samuel Amo-Ameyaw,Southampton,1.2380952380952381,-0.5952380952380952,0.2857142857142857,0.047619047619047616,1102.7619047619048,0.0009523809523809524,23,0.001
