name,team,position,opponent_name,was_home,fixture_difficulty,predicted_assists
Bruno Borges Fernandes,Man Utd,MID,West Ham,True,0.15,0.72
Cole Palmer,Chelsea,MID,Newcastle,False,-0.6,0.7
Bryan Mbeumo,Brentford,MID,Ipswich,False,1.2,0.68
Bukayo Saka,Arsenal,MID,Liverpool,False,-0.2,0.67
James Maddison,Spurs,MID,Crystal Palace,True,-0.1,0.61
Alex Iwobi,Fulham,MID,Everton,True,0.75,0.56
Mohamed Salah,Liverpool,MID,Arsenal,True,0.6,0.56
Marco Asensio,Aston Villa,MID,Bournemouth,False,-0.8,0.54
Matheus Santos Carneiro Da Cunha,Wolves,FWD,Brighton,True,-1.45,0.52
Justin Kluivert,Bournemouth,MID,Aston Villa,True,-1.6,0.5
Trent Alexander-Arnold,Liverpool,DEF,Arsenal,True,0.6,0.44
Youri Tielemans,Aston Villa,MID,Bournemouth,False,-0.8,0.43
Amad Diallo,Man Utd,MID,West Ham,True,0.15,0.42
Omar Marmoush,Man City,FWD,Southampton,False,2.85,0.42
Jarrod Bowen,West Ham,MID,Man Utd,False,-0.45,0.41
Alexander Isak,Newcastle,FWD,Chelsea,True,-2.2,0.4
Pedro Porro,Spurs,DEF,Crystal Palace,True,-0.1,0.4
Jacob Murphy,Newcastle,MID,Chelsea,True,-2.2,0.36
Luis Díaz,Liverpool,MID,Arsenal,True,0.6,0.35
Mikkel Damsgaard,Brentford,MID,Ipswich,False,1.2,0.32
Antonee Robinson,Fulham,DEF,Everton,True,0.75,0.31
Nicolas Jackson,Chelsea,FWD,Newcastle,False,-0.6,0.31
João Pedro Junqueira de Jesus,Brighton,FWD,Wolves,False,0.75,0.31
Joško Gvardiol,Man City,DEF,Southampton,False,2.85,0.31
Jean-Philippe Mateta,Crystal Palace,FWD,Spurs,False,-0.9,0.3
Son Heung-min,Spurs,MID,Crystal Palace,True,-0.1,0.29
Kai Havertz,Arsenal,FWD,Liverpool,False,-0.2,0.28
Yoane Wissa,Brentford,FWD,Ipswich,False,1.2,0.28
Ollie Watkins,Aston Villa,FWD,Bournemouth,False,-0.8,0.28
Alexis Mac Allister,Liverpool,MID,Arsenal,True,0.6,0.27
Julio Enciso,Ipswich,MID,Brentford,True,-3.6,0.27
Dango Ouattara,Bournemouth,MID,Aston Villa,True,-1.6,0.27
Ismaïla Sarr,Crystal Palace,MID,Spurs,False,-0.9,0.27
Harvey Barnes,Newcastle,MID,Chelsea,True,-2.2,0.27
Erling Haaland,Man City,FWD,Southampton,False,2.85,0.27
Iliman Ndiaye,Everton,FWD,Fulham,False,-0.35,0.26
Cody Gakpo,Liverpool,FWD,Arsenal,True,0.6,0.25
Brennan Johnson,Spurs,MID,Crystal Palace,True,-0.1,0.24
Morgan Gibbs-White,Nott'm Forest,MID,Leicester,True,2.2,0.24
Declan Rice,Arsenal,MID,Liverpool,False,-0.2,0.24
Chris Wood,Nott'm Forest,FWD,Leicester,True,2.2,0.23
Dejan Kulusevski,Spurs,MID,Crystal Palace,True,-0.1,0.22
Morgan Rogers,Aston Villa,MID,Bournemouth,False,-0.8,0.22
Jørgen Strand Larsen,Wolves,FWD,Brighton,True,-1.45,0.22
Daniel Muñoz,Crystal Palace,DEF,Spurs,False,-0.9,0.21
