name,team,position,opponent_name,was_home,fixture_difficulty,predicted_assists
Cole Palmer,Chelsea,MID,Everton,True,1.55,0.84
Mohamed Salah,Liverpool,MID,Spurs,True,2.3,0.65
Bruno Borges Fernandes,Man Utd,MID,Bournemouth,False,-1.95,0.62
Matheus Santos Carneiro Da Cunha,Wolves,FWD,Leicester,True,-0.1,0.58
Justin Kluivert,Bournemouth,MID,Man Utd,True,0.25,0.55
Alex Iwobi,Fulham,MID,Southampton,False,1.85,0.55
Bryan Mbeumo,Brentford,MID,Nott'm Forest,False,-1.1,0.55
James Maddison,Spurs,MID,Liverpool,False,-4.5,0.54
Alexander Isak,Newcastle,FWD,Ipswich,True,1.8,0.46
Trent Alexander-Arnold,Liverpool,DEF,Spurs,True,2.3,0.45
Jacob Murphy,Newcastle,MID,Ipswich,True,1.8,0.4
Pedro Porro,Spurs,DEF,Liverpool,False,-4.5,0.39
Amad Diallo,Man Utd,MID,Bournemouth,False,-1.95,0.38
Jarrod Bowen,West Ham,MID,Brighton,False,-1.2,0.38
Luis Díaz,Liverpool,MID,Spurs,True,2.3,0.36
Nicolas Jackson,Chelsea,FWD,Everton,True,1.55,0.33
Antonee Robinson,Fulham,DEF,Southampton,False,1.85,0.32
João Pedro Junqueira de Jesus,Brighton,FWD,West Ham,True,0.4,0.3
Yoane Wissa,Brentford,FWD,Nott'm Forest,False,-1.1,0.29
Dango Ouattara,Bournemouth,MID,Man Utd,True,0.25,0.29
Mikkel Damsgaard,Brentford,MID,Nott'm Forest,False,-1.1,0.28
Alexis Mac Allister,Liverpool,MID,Spurs,True,2.3,0.28
Harvey Barnes,Newcastle,MID,Ipswich,True,1.8,0.27
Son Heung-min,Spurs,MID,Liverpool,False,-4.5,0.27
Iliman Ndiaye,Everton,FWD,Chelsea,False,-2.75,0.26
Morgan Gibbs-White,Nott'm Forest,MID,Brentford,True,-1.1,0.25
Brennan Johnson,Spurs,MID,Liverpool,False,-4.5,0.25
Julio Enciso,Ipswich,MID,Newcastle,False,-3.0,0.25
Enzo Fernández,Chelsea,MID,Everton,True,1.55,0.25
Chris Wood,Nott'm Forest,FWD,Brentford,True,-1.1,0.24
Anthony Gordon,Newcastle,MID,Ipswich,True,1.8,0.24
Cody Gakpo,Liverpool,FWD,Spurs,True,2.3,0.24
Bruno Guimarães Rodriguez Moura,Newcastle,MID,Ipswich,True,1.8,0.22
Antoine Semenyo,Bournemouth,MID,Man Utd,True,0.25,0.21
Dejan Kulusevski,Spurs,MID,Liverpool,False,-4.5,0.21
Dominic Solanke-Mitchell,Spurs,FWD,Liverpool,False,-4.5,0.21
Ryan Christie,Bournemouth,MID,Man Utd,True,0.25,0.2
