feature,importance
influence,0.2900209772064385
expected_assists,0.1902539492644891
ict_index,0.18778898127214164
roll3_creativity,0.11908212680431222
roll3_minutes,0.061682579646761666
transfers_in,0.04764154466917335
fixture_difficulty,0.037862326459253255
team_attacking,0.019058940576836218
is_midfielder,0.016797029646724623
opp_defending,0.015255901184824247
is_defender,0.00875053187608386
is_forward,0.005805111392961478
