name,team,position,GW,opponent_name,was_home,fixture_difficulty,predicted_goals,raw_predicted_goals,fixture_adjusted_goals,blended_prediction,min_probability,opponent_team,team_attacking,opp_defending
Axel Disasi,Aston Villa,DEF,38,Man Utd,False,1.5,0.1,0.0005718954248366013,0.15057189542483662,0.10446620288368916,0.06,14,1160,1110
Milos Kerkez,Bournemouth,DEF,38,Leicester,True,1.5,0.1,0.0006413398692810457,0.15064133986928108,0.10451134177257805,0.06,11,1130,1090
Adama Traoré,Fulham,MID,38,Man City,True,-3.0,0.1,0.017050505050505052,0.0,0.02275609149676778,0.09696774193548387,13,1150,1350
Yasin Ayari,Brighton,MID,38,Spurs,False,-0.7,0.1,0.0016865079365079366,0.0,0.02275609149676778,0.10490322580645162,18,1140,1210
Matheus Luiz Nunes,Man City,MID,38,Fulham,False,1.0,0.09,0.002261904761904762,0.10226190476190473,0.08922632959200585,0.08413793103448276,9,1150,1150
Marcus Rashford,Man Utd,MID,38,Aston Villa,True,-2.5,0.09,0.007535714285714285,0.0,0.02275609149676778,0.09285714285714286,2,1120,1270
Rodrigo Bentancur,Spurs,MID,38,Brighton,True,-0.7,0.09,0.0015476190476190477,0.0,0.02275609149676778,0.09187096774193548,5,1090,1160
Sam Szmodics,Ipswich,MID,38,West Ham,True,-0.75,0.09,0.02409883172383173,0.0,0.02275609149676778,0.08872727272727274,19,1070,1120
Carlos Henrique Casimiro,Man Utd,MID,38,Aston Villa,True,-2.5,0.09,0.001,0.0,0.02275609149676778,0.08948148148148148,2,1120,1270
Jean-Ricner Bellegarde,Wolves,MID,38,Brentford,True,-3.4,0.09,0.0,0.0,0.02275609149676778,0.092,4,1070,1310
Yankuba Minteh,Brighton,MID,38,Spurs,False,-0.7,0.09,0.01880952380952381,0.0,0.02275609149676778,0.09206666666666666,18,1140,1210
Kalvin Phillips,Ipswich,MID,38,West Ham,True,-0.75,0.09,0.0011111111111111111,0.0,0.02275609149676778,0.08955555555555555,19,1070,1120
Archie Gray,Spurs,MID,38,Brighton,True,-0.7,0.09,0.0,0.0,0.02275609149676778,0.08655172413793102,5,1090,1160
Carlos Soler,West Ham,MID,38,Ipswich,False,0.25,0.09,0.0008333333333333333,0.025833333333333354,0.03954775816343446,0.08593103448275861,10,1080,1080
Joško Gvardiol,Man City,DEF,38,Fulham,False,1.0,0.09,0.025547650878533227,0.1255476508785332,0.08820044392859193,0.06,9,1150,1150
Jérémy Doku,Man City,MID,38,Fulham,False,1.0,0.09,0.004791666666666666,0.10479166666666664,0.09087067483010111,0.0846,9,1150,1150
Yves Bissouma,Spurs,MID,38,Brighton,True,-0.7,0.08,0.0007142857142857143,0.0,0.02275609149676778,0.08469230769230769,5,1090,1160
Fabian Schär,Newcastle,DEF,38,Everton,True,1.1,0.08,0.0027916666666666663,0.11279166666666665,0.07990905419087867,0.06,8,1140,1100
Lewis Hall,Newcastle,DEF,38,Everton,True,1.1,0.08,0.0037563131313131316,0.11375631313131312,0.08053607439289888,0.06,8,1140,1100
Kieran Trippier,Newcastle,DEF,38,Everton,True,1.1,0.08,0.0037202380952380955,0.11372023809523808,0.0805126256194501,0.033857142857142856,8,1140,1100
Jesper Lindstrøm,Everton,MID,38,Newcastle,False,-1.8,0.08,0.0007142857142857143,0.0,0.02275609149676778,0.08475862068965517,15,1140,1250
Diego Gómez,Brighton,MID,38,Spurs,False,-0.7,0.08,0.0008333333333333333,0.0,0.02275609149676778,0.07509090909090908,18,1140,1210
Lesley Ugochukwu,Southampton,MID,38,Arsenal,True,-5.3,0.08,0.0007142857142857143,0.0,0.02275609149676778,0.08426666666666666,1,1050,1300
Dan Burn,Newcastle,DEF,38,Everton,True,1.1,0.08,0.0037916666666666667,0.11379166666666665,0.08055905419087867,0.06,8,1140,1100
Tino Livramento,Newcastle,DEF,38,Everton,True,1.1,0.08,0.0,0.10999999999999999,0.07809447085754534,0.06,8,1140,1100
Daichi Kamada,Crystal Palace,MID,38,Liverpool,False,-4.55,0.08,0.002594627594627594,0.0,0.02275609149676778,0.076,12,1140,1370
Wes Burns,Ipswich,MID,38,West Ham,True,-0.75,0.08,0.0,0.0,0.02275609149676778,0.08381818181818182,19,1070,1120
Guido Rodríguez,West Ham,MID,38,Ipswich,False,0.25,0.08,0.0,0.025000000000000022,0.03900609149676779,0.08466666666666667,10,1080,1080
Adam Wharton,Crystal Palace,MID,38,Liverpool,False,-4.55,0.07,0.0018803418803418803,0.0,0.02275609149676778,0.07453333333333333,12,1140,1370
Albert Grønbæk,Southampton,MID,38,Arsenal,True,-5.3,0.07,0.0,0.0,0.02275609149676778,0.0705,1,1050,1300
Rico Lewis,Man City,DEF,38,Fulham,False,1.0,0.07,0.0,0.09999999999999998,0.07159447085754533,0.06,9,1150,1150
Manuel Akanji,Man City,DEF,38,Fulham,False,1.0,0.07,0.0014285714285714286,0.10142857142857141,0.07252304228611677,0.06,9,1150,1150
Martin Dúbravka,Newcastle,GK,38,Everton,True,1.1,0.07,0.0030952380952380953,0.11309523809523808,0.07351190476190475,0.006,8,1140,1100
Crysencio Summerville,West Ham,MID,38,Ipswich,False,0.25,0.07,0.005054112554112554,0.030054112554112576,0.042291264656940955,0.07390476190476189,10,1080,1080
Abdukodir Khusanov,Man City,DEF,38,Fulham,False,1.0,0.07,0.003111577964519141,0.10311157796451911,0.07361699653448277,0.06,9,1150,1150
Kyle Walker,Man City,DEF,38,Fulham,False,1.0,0.07,0.0007142857142857143,0.10071428571428569,0.07205875657183104,0.046,9,1150,1150
James Garner,Everton,MID,38,Newcastle,False,-1.8,0.07,0.0,0.0,0.02275609149676778,0.06774193548387096,15,1140,1250
Rúben Gato Alves Dias,Man City,DEF,38,Fulham,False,1.0,0.07,0.0037678571428571427,0.10376785714285712,0.07404357800040248,0.05962068965517241,9,1150,1150
Ederson Santana de Moraes,Man City,GK,38,Fulham,False,1.0,0.07,0.0007142857142857143,0.10071428571428569,0.0654642857142857,0.01,9,1150,1150
Jack Clarke,Ipswich,MID,38,West Ham,True,-0.75,0.07,0.0,0.0,0.02275609149676778,0.06735714285714285,19,1070,1120
Oliver Skipp,Leicester,MID,38,Bournemouth,False,-2.9,0.07,0.0,0.0,0.02275609149676778,0.06695652173913044,3,1080,1260
Nathan Aké,Man City,DEF,38,Fulham,False,1.0,0.07,0.0,0.09999999999999998,0.07159447085754533,0.030772727272727275,9,1150,1150
Harry Wilson,Fulham,MID,38,Man City,True,-3.0,0.07,0.014209290709290712,0.0,0.02275609149676778,0.07208695652173912,13,1150,1350
Christian Eriksen,Man Utd,MID,38,Aston Villa,True,-2.5,0.07,0.0,0.0,0.02275609149676778,0.06661538461538462,2,1120,1270
Stefan Ortega Moreno,Man City,GK,38,Fulham,False,1.0,0.07,0.0025,0.10249999999999998,0.06662499999999999,0.006007246376811594,9,1150,1150
Nick Pope,Newcastle,GK,38,Everton,True,1.1,0.07,0.0,0.10999999999999999,0.0715,0.01,8,1140,1100
Lucas Bergvall,Spurs,MID,38,Brighton,True,-0.7,0.07,0.0015476190476190477,0.0,0.02275609149676778,0.0688125,5,1090,1160
Joël Veltman,Brighton,DEF,38,Spurs,False,-0.7,0.06,0.0005,0.0,0.006594470857545343,0.06,18,1140,1210
James Tarkowski,Everton,DEF,38,Newcastle,False,-1.8,0.06,0.000849673202614379,0.0,0.006594470857545343,0.06,15,1140,1250
Murillo Santiago Costa dos Santos,Nott'm Forest,DEF,38,Chelsea,True,-1.6,0.06,0.005338827838827839,0.0,0.006594470857545343,0.06,6,1200,1320
Sepp van den Berg,Brentford,DEF,38,Wolves,False,0.6,0.06,0.0031212121212121214,0.06312121212121206,0.04762325873633319,0.06,20,1080,1120
Matthijs de Ligt,Man Utd,DEF,38,Aston Villa,True,-2.5,0.06,0.004333333333333333,0.0,0.006594470857545343,0.06,2,1120,1270
Kamaldeen Sulemana,Southampton,MID,38,Arsenal,True,-5.3,0.06,0.001,0.0,0.02275609149676778,0.06219354838709677,1,1050,1300
Dara O'Shea,Ipswich,DEF,38,West Ham,True,-0.75,0.06,0.0,0.0,0.006594470857545343,0.06,19,1070,1120
Ola Aina,Nott'm Forest,DEF,38,Chelsea,True,-1.6,0.06,0.0036805555555555554,0.0,0.006594470857545343,0.06,6,1200,1320
Jacob Greaves,Ipswich,DEF,38,West Ham,True,-0.75,0.06,0.0,0.0,0.006594470857545343,0.05884615384615384,19,1070,1120
Jan Paul van Hecke,Brighton,DEF,38,Spurs,False,-0.7,0.06,0.0,0.0,0.006594470857545343,0.06,18,1140,1210
Taylor Harwood-Bellis,Southampton,DEF,38,Arsenal,True,-5.3,0.06,0.0026346153846153846,0.0,0.006594470857545343,0.06,1,1050,1300
Joachim Andersen,Fulham,DEF,38,Man City,True,-3.0,0.06,0.003722943722943723,0.0,0.006594470857545343,0.06,13,1150,1350
Vitalii Mykolenko,Everton,DEF,38,Newcastle,False,-1.8,0.06,0.0008333333333333333,0.0,0.006594470857545343,0.06,15,1140,1250
Joachim Andersen,Crystal Palace,DEF,38,Liverpool,False,-4.55,0.06,0.006220959595959597,0.0,0.006594470857545343,0.06,12,1140,1370
Jan Bednarek,Southampton,DEF,38,Arsenal,True,-5.3,0.06,0.000625,0.0,0.006594470857545343,0.06,1,1050,1300
Antonee Robinson,Fulham,DEF,38,Man City,True,-3.0,0.06,0.012060046162987339,0.0,0.006594470857545343,0.06,13,1150,1350
