name,team,position,GW,opponent_name,was_home,fixture_difficulty,predicted_goals,raw_predicted_goals,fixture_adjusted_goals,blended_prediction,min_probability,opponent_team,team_attacking,opp_defending
Mohamed Salah,Liverpool,MID,34,Spurs,True,2.3,0.82,0.9515446636696637,1.2275446636696636,0.8206601228820493,0.12,18.0,1340,1280
Alexander Isak,Newcastle,FWD,34,Ipswich,True,1.8,0.63,0.6701326923467587,0.8861326923467585,0.6295915131832878,0.2,10.0,1140,1080
Cole Palmer,Chelsea,MID,34,Everton,True,1.55,0.48,0.5242572622283942,0.7102572622283942,0.48442331194522403,0.12,8.0,1150,1100
Nicolas Jackson,Chelsea,FWD,34,Everton,True,1.55,0.41,0.35605449759648683,0.5420544975964868,0.40594068659561117,0.2,8.0,1150,1100
Luis Díaz,Liverpool,MID,34,Spurs,True,2.3,0.36,0.24393334400772068,0.5199333440077206,0.3607127651017862,0.12,18.0,1340,1280
Raúl Jiménez,Fulham,FWD,34,Southampton,False,1.85,0.36,0.24974874798404212,0.47174874798404204,0.3602419493475221,0.2,17.0,1150,1060
Matheus Santos Carneiro Da Cunha,Wolves,FWD,34,Leicester,True,-0.1,0.33,0.43978829697134647,0.4277882969713465,0.33166765618926997,0.2,11.0,1070,1090
Noni Madueke,Chelsea,MID,34,Everton,True,1.55,0.32,0.26458363987233957,0.4505836398723396,0.3156354574137885,0.11399999999999999,8.0,1150,1100
Cody Gakpo,Liverpool,FWD,34,Spurs,True,2.3,0.31,0.11112418994404294,0.3871241899440429,0.3052359866215226,0.1710344827586207,18.0,1340,1280
Francisco Evanilson de Lima Barbosa,Bournemouth,FWD,34,Man Utd,True,0.25,0.27,0.306425511988012,0.336425511988012,0.2722818459501025,0.2,14.0,1130,1160
Chris Wood,Nott'm Forest,FWD,34,Brentford,True,-1.1,0.26,0.4540001127906899,0.32200011279068996,0.2629053364718432,0.2,4.0,1200,1310
Anthony Gordon,Newcastle,MID,34,Ipswich,True,1.8,0.25,0.13622381261532937,0.3522238126153293,0.25170156969673185,0.12,10.0,1140,1080
Dominik Szoboszlai,Liverpool,MID,34,Spurs,True,2.3,0.25,0.06799236705486703,0.343992367054867,0.24635113008243134,0.12,18.0,1340,1280
Darwin Núñez Ribeiro,Liverpool,FWD,34,Spurs,True,2.3,0.25,0.02848737373737374,0.3044873737373737,0.25152205608718764,0.11264367816091957,18.0,1340,1280
Antoine Semenyo,Bournemouth,MID,34,Man Utd,True,0.25,0.24,0.30392021650383866,0.3339202165038387,0.23980423222426292,0.12,14.0,1130,1160
Diogo Teixeira da Silva,Liverpool,MID,34,Spurs,True,2.3,0.24,0.06498461476263201,0.340984614762632,0.24439609109247856,0.07385714285714286,18.0,1340,1280
Harvey Barnes,Newcastle,MID,34,Ipswich,True,1.8,0.22,0.09475515288015288,0.31075515288015276,0.22474694086886707,0.0895,10.0,1140,1080
Jacob Murphy,Newcastle,MID,34,Ipswich,True,1.8,0.22,0.09403554112690701,0.3100355411269069,0.22427919322925727,0.12,10.0,1140,1080
Justin Kluivert,Bournemouth,MID,34,Man Utd,True,0.25,0.22,0.270276985448688,0.300276985448688,0.217936132038415,0.12,14.0,1130,1160
Trent Alexander-Arnold,Liverpool,DEF,34,Spurs,True,2.3,0.22,0.04484233127983129,0.32084233127983125,0.21514198618943564,0.06,18.0,1340,1280
Alexis Mac Allister,Liverpool,MID,34,Spurs,True,2.3,0.21,0.012601731601731603,0.2886017316017316,0.2103472170378933,0.12,18.0,1340,1280
Yoane Wissa,Brentford,FWD,34,Nott'm Forest,False,-1.1,0.21,0.3674959068709067,0.23549590687090674,0.20667760262398413,0.2,16.0,1080,1190
Curtis Jones,Liverpool,MID,34,Spurs,True,2.3,0.21,0.011384108946608948,0.28738410894660893,0.20955576231206358,0.09373333333333332,18.0,1340,1280
João Pedro Junqueira de Jesus,Brighton,FWD,34,West Ham,True,0.4,0.2,0.1305302145770896,0.17853021457708965,0.169649902633003,0.19645833333333335,19.0,1120,1120
Liam Delap,Ipswich,FWD,34,Newcastle,False,-3.0,0.2,0.04700559163059163,0.0,0.05360526315789473,0.2,15.0,1070,1250
Ryan Gravenberch,Liverpool,MID,34,Spurs,True,2.3,0.2,0.002,0.27799999999999997,0.20345609149676777,0.12,18.0,1340,1280
Dominic Solanke-Mitchell,Spurs,FWD,34,Liverpool,False,-4.5,0.2,0.16433362470862473,0.0,0.05360526315789473,0.2,12.0,1090,1370
Jamie Vardy,Leicester,FWD,34,Wolves,False,-0.5,0.2,0.028309940059940062,0.0,0.05360526315789473,0.2,20.0,1080,1120
Iliman Ndiaye,Everton,FWD,34,Chelsea,False,-2.75,0.2,0.021785714285714283,0.0,0.05360526315789473,0.2,6.0,1140,1310
Dominic Calvert-Lewin,Everton,FWD,34,Chelsea,False,-2.75,0.2,0.05856120799135505,0.0,0.05360526315789473,0.2,6.0,1140,1310
Jørgen Strand Larsen,Wolves,FWD,34,Leicester,True,-0.1,0.2,0.2017951721481133,0.18979517214811334,0.1769721250541684,0.2,11.0,1070,1090
Virgil van Dijk,Liverpool,DEF,34,Spurs,True,2.3,0.19,0.00682159017453135,0.28282159017453135,0.19042850447099072,0.06,18.0,1340,1280
Ibrahima Konaté,Liverpool,DEF,34,Spurs,True,2.3,0.19,0.0030277777777777777,0.27902777777777776,0.18796252641310088,0.06,18.0,1340,1280
Alex Iwobi,Fulham,MID,34,Southampton,False,1.85,0.19,0.041967070771861514,0.26396707077186143,0.1943346874984777,0.12,17.0,1150,1060
