name,team,position,price,ExpPts,Squad,XI
Erling Haaland,Man City,FWD,14.8,5.96,1,1
Mohamed Salah,Liverpool,MID,13.7,6.9,1,1
Omar Marmoush,Man City,FWD,0.0,5.17,1,1
Cole Palmer,Chelsea,MID,11.4,5.42,1,1
Bryan Mbeumo,Brentford,MID,7.8,5.21,1,1
Joško Gvardiol,Man City,DEF,6.0,3.6199999999999997,1,1
Bukayo Saka,Arsenal,MID,10.2,4.95,1,1
Marco Asensio,Aston Villa,MID,0.1,4.49,1,1
Matz Sels,Nott'm Forest,GK,4.9,2.71,1,1
Trent Alexander-Arnold,Liverpool,DEF,7.2,3.3600000000000003,1,1
Pedro Porro,Spurs,DEF,5.5,3.1200000000000006,1,1
Jørgen Strand Larsen,Wolves,FWD,5.5,3.15,1,0
Jacob Greaves,Ipswich,DEF,3.9,1.9400000000000002,1,0
Ben Johnson,Ipswich,DEF,3.9,1.86,1,0
Alex Palmer,Ipswich,GK,0.1,2.07,1,0
