first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Richarlison,de Andrade,4,1,31,403,6,56.7,179.8,233.0,0,132,46.7,1,0,2,0.4,68,FWD
Cristian,Romero,1,1,49,1416,22,113.1,343.2,232.0,3,245,69.0,3,0,3,3.5,49,DEF
Pape Matar,Sarr,3,2,65,1624,35,237.4,365.2,207.0,4,334,80.5,2,0,6,0.2,47,MID
Dane,Scarlett,0,1,6,31,1,11.0,24.4,17.0,0,20,5.2,0,0,0,0.7,44,FWD
Manor,Solomon,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,MID
Son,Heung-min,7,10,126,2001,33,729.9,628.6,688.0,12,540,204.7,4,0,1,4.2,97,MID
Djed,Spence,1,2,47,1513,32,206.3,379.4,98.0,6,210,68.5,3,1,2,0.9,44,DEF
Destiny,Udogie,0,1,43,1833,31,255.6,347.4,132.0,0,243,73.7,2,0,2,1.5,48,DEF
Micky,van de Ven,0,2,31,949,15,39.3,195.4,57.0,2,139,29.2,2,0,4,2.4,45,DEF
Alejo,Véliz,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,FWD
Guglielmo,Vicario,0,0,63,1980,32,0.0,542.4,0.0,2,289,54.0,4,0,1,1.9,48,GK
Timo,Werner,0,3,34,504,12,148.0,114.6,113.0,2,120,37.1,1,0,0,0.1,62,MID
Alfie,Whiteman,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.7,39,GK
Will,Lankshear,0,0,3,10,0,0.0,0.0,0.0,0,7,0.0,0,0,0,1.0,45,FWD
Mikey,Moore,0,2,14,180,1,42.7,23.4,30.0,0,37,9.4,0,0,0,0.2,45,MID
Wilson,Odobert,0,0,19,532,11,93.0,45.0,115.0,0,55,25.3,1,0,0,0.0,53,MID
Callum,Olusesi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Malachi,Hardy,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Luca,Williams-Barnett,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Alfie,Dorrington,0,0,1,13,0,0.2,1.0,0.0,0,4,0.1,0,0,0,0.0,40,DEF
Maeson,King,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Antonín,Kinsky,0,0,12,360,7,10.1,102.6,0.0,0,52,11.2,1,0,0,0.1,41,GK
Min-Hyeok,Yang,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Damola,Ajayi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Ange,Postecoglou,0,0,53,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,11,AM
Dante,Cassanova,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Kevin,Danso,0,0,12,482,9,32.3,127.8,55.0,0,71,21.5,1,0,0,0.0,44,DEF
Mathys,Tel,2,0,30,556,13,144.9,118.4,180.0,2,107,43.8,2,0,0,0.1,58,MID
Evan,Ferguson,1,0,27,375,9,68.2,77.8,104.0,2,92,24.7,1,0,0,0.3,55,FWD
Aaron,Wan-Bissaka,2,3,93,2794,55,465.1,684.6,169.0,10,406,131.9,5,0,1,4.9,44,DEF
Edson,Álvarez Velázquez,0,1,37,1632,29,196.0,253.8,49.0,0,209,49.9,3,1,6,0.1,50,MID
Michail,Antonio,1,4,42,834,18,139.5,72.0,194.0,3,111,39.5,4,0,1,0.8,52,FWD
Alphonse,Areola,0,0,57,1989,38,0.0,546.2,0.0,0,222,54.8,3,0,0,6.9,42,GK
Jarrod,Bowen,9,10,155,2632,46,700.0,726.0,916.0,15,559,233.9,7,0,1,11.3,77,MID
Vladimír,Coufal,0,0,19,856,19,107.5,174.6,39.0,1,58,31.8,1,0,4,0.4,41,DEF
Aaron,Cresswell,0,0,27,583,6,114.9,115.8,5.0,3,109,23.5,2,0,2,1.8,39,DEF
George,Earthy,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Emerson,Palmieri dos Santos,2,1,73,2011,40,308.1,411.8,171.0,4,208,89.1,5,0,5,0.6,44,DEF
Łukasz,Fabiański,0,0,36,1070,20,0.3,362.2,0.0,2,132,36.1,2,0,2,10.7,40,GK
Wes,Foderingham,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,42,GK
Danny,Ings,1,3,32,270,4,76.5,97.0,159.0,4,110,33.4,0,0,0,1.2,49,FWD
Max,Kilman,0,1,72,2988,58,199.0,759.8,140.0,5,346,110.2,5,0,4,1.3,43,DEF
Mohammed,Kudus,4,3,90,2332,43,479.4,402.2,697.0,4,316,157.7,6,1,1,2.5,62,MID
Luis Guilherme,Lira dos Santos,0,0,11,128,5,47.1,24.6,27.0,0,44,9.8,0,0,0,0.0,46,MID
Lucas,Tolentino Coelho de Lima,4,1,78,2253,48,607.1,413.4,258.0,5,353,127.6,4,0,8,0.9,57,MID
Konstantinos,Mavropanos,0,0,41,1936,38,74.0,458.6,160.0,4,206,69.3,2,1,4,0.1,43,DEF
Nayef,Aguerd,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,DEF
Tomáš,Souček,8,2,111,2247,41,222.3,584.6,565.0,13,389,136.4,6,0,8,1.4,48,MID
James,Ward-Prowse,0,2,37,1196,16,276.4,199.2,75.0,0,211,55.2,4,1,2,0.5,61,MID
Kurt,Zouma,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,DEF
Andy,Irving,0,0,9,161,4,26.5,37.6,17.0,0,38,8.1,0,0,2,0.0,47,MID
Crysencio,Summerville,1,1,33,776,20,246.1,156.4,186.0,2,129,58.7,2,0,2,0.3,55,MID
Guido,Rodríguez,0,0,29,1016,18,62.1,168.6,23.0,0,165,25.5,3,0,5,0.1,48,MID
Niclas,Füllkrug,3,2,36,583,15,150.8,171.2,173.0,3,140,48.6,2,0,2,0.8,67,FWD
Jean-Clair,Todibo,0,0,44,1483,29,34.4,305.2,26.0,1,189,36.6,4,0,2,0.3,42,DEF
Kaelan,Casey,0,0,1,1,0,0.0,2.0,0.0,0,3,0.2,0,0,0,0.2,40,DEF
Carlos,Soler,1,1,45,1336,24,248.0,172.0,163.0,2,204,58.3,2,0,5,0.0,50,MID
Ollie,Scarles,0,0,27,588,8,41.8,92.2,20.0,2,88,15.5,2,0,1,0.2,40,DEF
Ezra,Mayers,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Lewis,Orford,0,0,2,47,1,27.6,6.4,6.0,0,13,4.0,0,0,0,0.0,45,MID
Graham,Potter,0,0,60,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.8,5,AM
Sam,Johnstone,0,0,12,630,17,10.0,193.8,0.0,0,42,20.4,0,0,0,0.3,41,GK
Rayan,Aït-Nouri,4,7,122,2868,60,565.5,714.0,381.0,13,416,166.3,7,1,5,14.3,50,DEF
Boubacar,Traoré,0,0,1,1,0,0.0,4.0,0.0,0,3,0.4,0,0,0,0.0,48,MID
Jean-Ricner,Bellegarde,2,6,83,1543,26,387.2,330.4,190.0,5,295,90.1,6,0,3,0.2,49,MID
Daniel,Bentley,0,0,7,90,0,0.0,11.4,0.0,1,24,1.1,1,0,0,1.7,39,GK
Francisco Jorge,Tomás Oliveira,0,0,1,6,0,14.3,3.0,2.0,0,4,1.9,0,0,0,0.1,45,MID
Tawanda,Chirewa,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Leon,Chiwome,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.1,44,FWD
Luke,Cundle,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID
Matheus,Santos Carneiro Da Cunha,15,7,175,2425,51,770.0,915.0,844.0,41,820,252.6,7,0,3,13.6,70,FWD
Craig,Dawson,0,1,17,969,25,31.3,204.2,55.0,1,57,29.1,1,0,2,0.1,42,DEF
Matt,Doherty,2,1,72,1961,36,167.1,473.8,133.0,4,288,77.5,6,0,6,0.3,43,DEF
Tommy,Doyle,0,1,28,474,10,101.7,114.6,34.0,0,128,25.3,0,0,1,0.0,47,MID
Fábio,Silva,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,50,FWD
Nathan,Fraser,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.0,45,FWD
Enso,González,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,MID
Gonçalo Manuel,Ganchinho Guedes,2,4,57,767,19,168.2,201.4,161.0,2,177,52.7,3,0,1,0.1,53,MID
Hugo,Bueno López,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF
Hwang,Hee-chan,2,1,36,637,18,72.0,111.2,84.0,0,126,26.6,0,0,0,0.3,61,MID
Joe,Hodge,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45,MID
Ki-Jana,Hoever,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF
João Victor,Gomes da Silva,3,1,84,2781,55,405.8,480.6,221.0,7,436,110.7,6,1,8,0.2,49,MID
José,Malheiro de Sá,0,0,88,2430,45,20.0,550.8,0.0,4,281,57.1,7,0,2,2.9,44,GK
Saša,Kalajdžić,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,48,FWD
Tom,King,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.2,40,GK
Mario,Lemina,1,3,47,1363,39,166.7,356.8,120.0,5,252,64.4,1,0,4,0.1,48,MID
Yerson,Mosquera,0,0,3,441,12,27.3,110.2,21.0,0,24,16.0,0,0,2,0.7,38,DEF
Nélson,Cabral Semedo,0,4,82,2664,44,344.1,468.8,135.0,0,285,94.9,8,0,7,0.6,45,DEF
Pedro,Cardoso de Lima,0,0,2,69,2,34.8,23.4,11.0,0,9,6.9,0,0,0,1.2,39,DEF
Daniel,Castelo Podence,0,0,2,46,2,1.1,3.0,1.0,0,9,0.4,0,0,0,0.0,55,MID
Rodrigo,Martins Gomes,2,0,38,658,16,176.0,181.2,104.0,0,168,45.8,1,0,0,0.1,51,MID
Santiago,Bueno,0,0,51,1675,34,14.8,338.4,80.0,2,171,43.4,5,0,2,0.1,43,DEF
Pablo,Sarabia,3,2,47,703,13,214.4,209.2,175.0,3,168,59.7,1,0,3,0.1,50,MID
Jørgen,Strand Larsen,13,2,129,2465,48,275.2,572.8,807.0,15,508,165.1,7,0,4,4.6,54,FWD
Toti António,Gomes,0,1,77,2343,38,137.5,549.8,98.0,8,353,78.6,8,0,6,0.3,43,DEF
Bastien,Meupiyou,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,39,DEF
André,Trindade da Costa Neto,0,0,56,2249,41,242.1,338.6,29.0,1,395,60.7,7,0,7,0.0,50,MID
Carlos Roberto,Forbs Borges,0,0,9,236,9,24.2,25.8,35.0,0,35,8.3,0,0,2,0.0,54,MID
Alfie,Pond,0,0,1,1,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.7,39,DEF
Tom,Edozie,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Wes,Okoduwa,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Emmanuel,Agbadou,0,0,37,1140,15,54.5,308.2,32.0,1,198,39.4,4,0,2,0.4,40,DEF
Vítor Manuel,de Oliveira Lopes Pereira,0,0,100,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,5.5,8,AM
Nasser,Djiga,0,0,4,20,0,1.2,3.6,0.0,0,11,0.5,0,0,0,0.0,45,DEF
Marshall,Munetsi,1,2,38,878,7,99.7,130.4,155.0,2,99,38.6,5,0,0,0.1,50,MID
Mateus,Mané,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
