name,team,position,GW,opponent_name,was_home,fixture_difficulty,predicted_goals,raw_predicted_goals,fixture_adjusted_goals,blended_prediction,min_probability,opponent_team,team_attacking,opp_defending
Rasmus Højlund,Man Utd,FWD,36,West Ham,True,0.15,0.16,0.004181929181929182,0.019181929181929194,0.06607351712614871,0.16447916666666668,19,1120,1120
Nikola Milenković,Nott'm Forest,DEF,36,Leicester,True,2.2,0.16,0.017196275946275943,0.2371962759462759,0.16077205022262467,0.06,11,1200,1090
Ola Aina,Nott'm Forest,DEF,36,Leicester,True,2.2,0.15,0.0038888888888888883,0.22388888888888886,0.1521222486353231,0.06,11,1200,1090
Murillo Santiago Costa dos Santos,Nott'm Forest,DEF,36,Leicester,True,2.2,0.15,0.0016666666666666666,0.22166666666666665,0.15067780419087867,0.06,11,1200,1090
Álex Moreno Lopera,Nott'm Forest,DEF,36,Leicester,True,2.2,0.15,0.0005555555555555556,0.22055555555555553,0.14995558196865644,0.04218181818181818,11,1200,1090
Cameron Archer,Southampton,FWD,36,Man City,True,-4.95,0.14,0.026405594405594403,0.0,0.05360526315789473,0.13967741935483874,13,1050,1350
Matz Sels,Nott'm Forest,GK,36,Leicester,True,2.2,0.14,0.0,0.21999999999999997,0.143,0.01,11,1200,1090
Joshua Zirkzee,Man Utd,FWD,36,West Ham,True,0.15,0.14,0.010290560134310133,0.025290560134310146,0.07004412724519633,0.14427083333333332,19,1120,1120
Antoine Semenyo,Bournemouth,MID,36,Aston Villa,True,-1.6,0.14,0.33575833440445657,0.17575833440445654,0.13699900885966454,0.12,2,1130,1270
Kevin Schade,Brentford,MID,36,Ipswich,False,1.2,0.13,0.04452892077892077,0.16452892077892076,0.12969989000306628,0.1145,10,1080,1080
Bruno Borges Fernandes,Man Utd,MID,36,West Ham,True,0.15,0.13,0.14286326569457372,0.15786326569457373,0.1253672141982407,0.12,19,1120,1120
Dejan Kulusevski,Spurs,MID,36,Crystal Palace,True,-0.1,0.13,0.1804169150452352,0.17041691504523523,0.1335270862761707,0.12,7,1090,1120
Michail Antonio,West Ham,FWD,36,Man Utd,False,-0.45,0.13,0.005065438034188035,0.0,0.05360526315789473,0.13238095238095238,14,1080,1110
Martin Ødegaard,Arsenal,MID,36,Liverpool,False,-0.2,0.12,0.05607401457401455,0.03607401457401453,0.04620420096987722,0.12,12,1370,1370
Will Hughes,Crystal Palace,MID,36,Spurs,False,-0.9,0.12,0.0008333333333333333,0.0,0.02275609149676778,0.11657142857142856,18,1140,1210
Youri Tielemans,Aston Villa,MID,36,Bournemouth,False,-0.8,0.12,0.019385673002963753,0.0,0.02275609149676778,0.12,3,1160,1260
Lewis Cook,Bournemouth,MID,36,Aston Villa,True,-1.6,0.12,0.0,0.0,0.02275609149676778,0.12,2,1130,1270
Mario Lemina,Wolves,MID,36,Brighton,True,-1.45,0.12,0.00811029411764706,0.0,0.02275609149676778,0.12,5,1070,1160
Saša Lukić,Fulham,MID,36,Everton,True,0.75,0.12,0.0,0.07499999999999996,0.07150609149676776,0.12,8,1150,1100
