element,position,multiplier,is_captain,is_vice_captain,element_type
15,1,1,False,False,1
355,2,1,False,False,2
231,3,1,False,False,2
311,4,1,False,False,2
182,5,2,True,False,3
514,6,1,False,False,3
328,7,1,False,False,3
54,8,1,False,False,3
541,9,1,False,False,4
4,10,1,False,False,4
82,11,1,False,True,4
308,12,0,False,False,1
372,13,0,False,False,3
3,14,0,False,False,2
270,15,0,False,False,2
